trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
502,False,"{'a': 0.5, 'e': 0.4842618015818595}",25,13,-6.548288133620824,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
503,False,"{'a': 0.5, 'e': 0.482404068045194}",30,11,-77.0577151483877,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
504,False,"{'a': 0.5, 'e': 0.4805441621648473}",20,14,10.325836066730254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.5, 'e': 0.47868209231627695}",30,20,-6.389804235399107,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
506,False,"{'a': 0.5, 'e': 0.47681786688468547}",25,0,-25.574059023436934,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
507,False,"{'a': 0.5, 'e': 0.4749514942649815}",20,0,-52.55948855759515,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
508,False,"{'a': 0.5, 'e': 0.4730829828617437}",25,0,-18.65248244226961,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
509,False,"{'a': 0.5, 'e': 0.47121234108918153}",25,1,-78.5554122062604,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 1}",1
510,False,"{'a': 0.5, 'e': 0.46933957737109827}",30,7,-56.86987794796785,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 0}",1
511,False,"{'a': 0.5, 'e': 0.467464700140852}",20,10,4.416848010080026,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
512,False,"{'a': 0.5, 'e': 0.4655877178413188}",25,7,-69.11759847948555,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
513,False,"{'a': 0.5, 'e': 0.4637086389248541}",25,0,-18.735699943294517,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
514,False,"{'a': 0.5, 'e': 0.46182747185325473}",35,4,-7.168390679731628,"{0: 25, 1: 3, 2: 3, 3: 0, 4: 0}",1
515,False,"{'a': 0.5, 'e': 0.45994422509772104}",20,0,-29.710328351971643,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
516,False,"{'a': 0.5, 'e': 0.4580589071388179}",25,10,9.357202553803434,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
517,False,"{'a': 0.5, 'e': 0.4561715264664377}",20,0,12.51698599960811,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
518,False,"{'a': 0.5, 'e': 0.4542820915797615}",25,0,-37.13898917577468,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
519,False,"{'a': 0.5, 'e': 0.45239061098722094}",25,0,10.59059039340154,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
520,False,"{'a': 0.5, 'e': 0.4504970932064591}",20,0,-34.03209808744617,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
521,False,"{'a': 0.5, 'e': 0.4486015467642936}",20,2,-75.10531812898466,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
522,False,"{'a': 0.5, 'e': 0.44670398019667723}",20,0,-2.6135853975323826,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
523,False,"{'a': 0.5, 'e': 0.4448044020486599}",35,24,7.48050547748253,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
524,False,"{'a': 0.5, 'e': 0.4429028208743493}",20,10,-36.5917294077701,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
525,False,"{'a': 0.5, 'e': 0.4409992452368739}",30,1,-58.889359525432624,"{0: 21, 1: 4, 2: 1, 3: 3, 4: 0}",1
526,False,"{'a': 0.5, 'e': 0.4390936837083431}",25,11,2.8616267137706575,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
527,False,"{'a': 0.5, 'e': 0.43718614486980956}",30,0,-1.0229045817182474,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
528,False,"{'a': 0.5, 'e': 0.43527663731122923}",25,12,-16.876736209048158,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
529,False,"{'a': 0.5, 'e': 0.43336516963142424}",25,11,21.953864850443786,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.5, 'e': 0.43145175043804335}",20,0,-17.149592834987008,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
531,False,"{'a': 0.5, 'e': 0.4295363883475231}",20,15,8.322735335896288,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.5, 'e': 0.42761909198504966}",20,0,1.5421902929284914,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
533,False,"{'a': 0.5, 'e': 0.4256998699845187}",20,4,-54.455274578716235,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
534,False,"{'a': 0.5, 'e': 0.4237787309884981}",30,17,-8.170448789014669,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
535,False,"{'a': 0.5, 'e': 0.421855683648188}",30,22,-9.23359895906335,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
536,False,"{'a': 0.5, 'e': 0.4199307366233824}",25,13,-38.06000857035925,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
537,False,"{'a': 0.5, 'e': 0.4180038985824292}",25,16,-27.374074137161127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
538,False,"{'a': 0.5, 'e': 0.4160751782021926}",35,21,-11.557230633153306,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
539,False,"{'a': 0.5, 'e': 0.4141445841680128}",25,0,-80.12200581536831,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
540,False,"{'a': 0.5, 'e': 0.41221212517366795}",20,6,13.126050404764623,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
541,False,"{'a': 0.5, 'e': 0.41027780992133345}",30,0,0.20365580023566632,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",1
542,False,"{'a': 0.5, 'e': 0.40834164712154464}",20,12,-5.308916242138006,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
543,False,"{'a': 0.5, 'e': 0.40640364549315616}",20,8,-38.98583713770025,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
544,False,"{'a': 0.5, 'e': 0.40446381376330365}",20,11,17.682599248240194,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.5, 'e': 0.4025221606673633}",20,7,8.774352795070346,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
546,False,"{'a': 0.5, 'e': 0.4005786949489138}",30,18,-30.327504911415843,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
547,False,"{'a': 0.5, 'e': 0.3986334253596961}",20,4,-16.23140254548754,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
